"UID","Value","English","Orphan"
1,"RESET","Reset Form",No
2,"RELOAD","Reload Page",No
3,"FIND","Find",No
4,"ADDNEW","Add New",No
5,"SAVE","Save",No
6,"DELETE","Delete",No
7,"CANCEL","Cancel",No
8,"EDIT","Edit",No
9,"CUSTOM","Custom",No
10,"CLOSE","Close this Window",No
400,"400BADREQUEST","400 Bad Request",No
401,"401UNAUTHORIZED","401 Unauthorized",No
402,"402PAYMENTREQUIRED","402 Payment Required",No
403,"403FORBIDDEN","403 Forbidden",No
404,"404NOTFOUND","404 Not Found",No
405,"405METHODNOTALLOWED","405 Method Not Allowed",No
406,"406NOTACCEPTABLE","406 Not Acceptable",No
407,"407PROXYAUTHENTICATIONREQUIRED","407 Proxy Authentication Required",No
408,"408REQUESTTIMEOUT","408 Request Timeout",No
409,"409CONFLICT","409 Conflict",No
410,"410GONE","410 Gone",No
411,"411LENGTHREQUIRED","411 Length Required",No
412,"412PRECONDITIONFAILED","412 Precondition Failed",No
413,"413REQUESTENTITYTOOLARGE","413 Request Entity Too Large",No
414,"414REQUEST-URITOOLONG","414 Request-URI Too Long",No
415,"415UNSUPPORTEDMEDIATYPE","415 Unsupported Media Type",No
416,"416REQUESTEDRANGENOTSATISFIABLE","416 Requested Range Not Satisfiable",No
417,"417EXPECTATIONFAILED","417 Expectation Failed",No
418,"418I'MATEAPOT","418 I'm a teapot",No
422,"422UNPROCESSABLEENTITY","422 Unprocessable Entity",No
423,"423LOCKED","423 Locked",No
424,"424FAILEDDEPENDENCY","424 Failed Dependency",No
425,"425UNORDEREDCOLLECTION","425 Unordered Collection",No
426,"426UPGRADEREQUIRED","426 Upgrade Required",No
449,"449RETRYWITH","449 Retry With",No
500,"500INTERNALSERVERERROR","500 Internal Server Error",No
501,"501NOTIMPLEMENTED","501 Not Implemented",No
502,"502BADGATEWAY","502 Bad Gateway",No
503,"503SERVICEUNAVAILABLE","503 Service Unavailable",No
504,"504GATEWAYTIMEOUT","504 Gateway Timeout",No
505,"505HTTPVERSIONNOTSUPPORTED","505 HTTP Version Not Supported",No
506,"506VARIANTALSONEGOTIATES","506 Variant Also Negotiates",No
507,"507INSUFFICIENTSTORAGE","507 Insufficient Storage",No
509,"509BANDWIDTHLIMITEXCEEDED","509 Bandwidth Limit Exceeded",No
510,"510NOTEXTENDED","510 Not Extended",No
1891,"FIRSTNAME","First Name",No
1892,"LASTNAME","Last Name",No
1893,"MIDDLENAME","Middle Name",No
1894,"UID","UID",No
1904,"NAME","Name",No
1906,"ENGLISH","English",No
1907,"VALUE","Value",No
1908,"TYPE","Type",No
1909,"GROUP","Group",No
1910,"VALIDSESSIONSONLY","Valid Sessions Only",No
1912,"CAPTION","Caption",No
1914,"DATATYPE","Datatype",No
1915,"TABLE","Table",No
1916,"CAPTIONRULES","Caption Rules",No
1917,"LOOKUPFIELDCAPTIONRULES","Lookup field caption rules",No
1918,"DEFINEDSIZE","Defined size",No
1919,"DATASOURCECONNECTION","Data Source Connection",No
1920,"LOOKUPTABLE","Lookup table",No
1921,"LOOKUPCOLUMN","Lookup column",No
1922,"LOOKUPDISPLAYCOLUMN","Lookup display column",No
1923,"LOOKUPFILTERCOLUMN","Lookup filter column",No
1924,"ALLOWNULLS","Allow Nulls",No
1925,"JASKEYCOLUMN","JAS Key Column",No
1926,"LOOKUPFILTERVALUE","Lookup filter value",No
1927,"DEFAULTVALUE","Default Value",No
1928,"BOOLEAN","Boolean",No
1929,"NONJASKEYCOLUMN","Non JAS Key Column",No
1930,"PRIMARYKEY","Primary Key",No
1931,"AUTOINCREMENT","Auto Increment",No
1932,"PRECISION","Precision",No
1933,"NUMERICSCALE","Numeric Scale",No
1934,"JASFIELD","JAS Field",No
1935,"LOOKUPCAPTIONTYPE","Lookup Caption Type",No
1936,"LOOKUPCAPTIONGROUP","Lookup Caption Group",No
1937,"DESCRIPTION","Description",No
1938,"SCREENTYPE","Screen Type",No
1939,"USE","Use",No
1941,"ENABLED","Enabled",No
1942,"USERNAME","Username",No
1943,"SERVER","Server",No
1944,"DATABASE","Database",No
1949,"OPEN","Open",No
1950,"PASSWORD","Password",No
1960,"ICON","Icon",No
1961,"COLUMNS","Columns",No
